с/т 69426|11.189 6723 ['сфæлынддзысты', 'дегустацимæ",', 'эстерсунды', 'постытӕ.', 'историимӕ"', 'раздæхтысты', 'сталинградаг,', 'ахастыл', 'бӕстыхӕйттӕн', 'хæстимæ']
м/л/н 54|0.009 3 ['млн', 54, 'млн)']
п/к 53|0.009 34 ['æпк-ы', 'попкорн', 'астапковичцӕгатирыстойнаг', 'астапковичмæскуыйы', 'астапковичуӕрӕсе', 'скрипкæйы', 'айриянщепкины', 'астапковичтыбылты', 'астапковичгасситы', 'хлопкова.']
в/ц 52|0.008 34 ['ковалевцыппар', 'овцы"', 'хасиевцӕк:', 'блиновцæгат', 'гассиевцӕгат', 'овцы.', 'аньковцӕгат', 'бровцев.', 'карповцӕгат', 'гурьевцӕгат']
з/д/т 51|0.008 22 ['съездтæм.', 'мыздтимæ",', 'кустмыздтӕ,', 'мыздтæ', 'съездтæм,', 'куыстмыздтӕ,', '"куыстмыздты', 'куыстмыздтыл', 51, '"мыздтæ']
з/м/т 50|0.008 13 ['механизмты', 'механизмты(иæам)', 'фразеологизмтӕй', 'механизмтӕ', 'механизмты(иӕам)', 'мехинизмты(иррм)', 'мехинизмты(иррм)форматы', 'механизмтыл.', 'механизмтыл,', 50]
б/к 49|0.008 17 ['губкæйы', 'пробкӕтӕ.', 'бк-тæ', 'рибкайӕн', 'рибка', 'бк', '(рибка)', 'обкомы', '"коробка".', 'бк-йы']
м/т/к 49|0.008 7 ['"ӕмткӕй', 'ӕмткӕй', 'æмткæй.', 49, 'æмткæй', 'ӕмткӕй",', '"ӕмткæй']
ж/д 48|0.008 34 ['ражден', 'рождения', '"международный', 'надежд-2017"', '"надежда-красногор"-ы', '"наваждение"', 'гражданской', '"восхождение"-йы', '"альфа-надежда"', '"наваждение",']
т/р/т 48|0.008 16 ['педиатртӕ,', 'метртæй', 'театрты.', 'параметртæ,', 'километртӕ.', 'параметрты', 'субтитртимӕ.', 'театртӕй', 48, 'театртӕ']
в/с 48|0.008 29 ['вс', 'ситдиковсанаты', '"дæргъæвс-', 'бибиловсӕйрагдӕр', 'ковалевсывæллæтты', 'тадтаевсербаг', 'дæргъæвсы', 'овсейкин.', 'авсарагова,', 'ӕвсӕддон']
н/г/в 48|0.008 13 ['зынгвæдисонтæ,', 'лингвистикон', 'билингвалон,', 'биллингвалон', 'ӕвзаг.полилингвалон', 'ахуыргӕндтӕ-лингвисттӕ', 'зынгвæдисонтæ', 'зынгвæдисонты', 48, 'этнолингвистон']
ч/н 48|0.008 22 ['мачнев', 'мачнев.', 'руковичниковимæ.', 'пасечник,', 'новобрачных".', '"млечный', 'пасечник', '"ночной', 48, 'личного']
р/м/д 48|0.008 25 ['æрмдæсныйæн', 'ӕрмдӕсны.', 'æрмдæсныты', 'фæхъармдæр', 'æрмдæсныйæдтыл.', 'ӕрмдæсны', 48, 'специалисттæ-æрмдæснытæ,', 'армдарæг', 'ӕрмдӕсныты']
ц/с/к 46|0.007 14 ['ӕцск-йы', '(ӕцск,', 'ӕцск-ы', 'ӕцск-мӕ.', 'цска,', 46, 'цска', '(ӕцск)', 'ӕцск-ӕн.', 'ӕцск-мæ']
г/хъ 45|0.007 15 ['æрдæгхъахъхъæнæг', 'æрдæгхъахъхъæнæг,', 'ӕрдæгхъахъхъæнæг', 'ӕнӕмӕгхъӕуӕг', 'æрдæгхъахъхъæнæджы', 'ӕрдӕгхъахъхъӕнӕгӕй.', 'ногхъæуы', 45, 'ногхъӕуы', 'æнæмæгхъæуæг']
з/л 45|0.007 14 ['козлов,', 'злотяй', 'уӕзласӕн', '"злоумышленники,', 'козлотура".', 45, 'пойразлыйы.', 'узловскы', 'златан', '"уӕзласӕн']
з/т/дж 45|0.007 11 [45, 'нозтджын,', 'нозтджынæй.', 'нозтджын",', 'нозтджынӕй', 'нозтджын', 'нозтджын.', 'стрелецнозтджын', 'нозтджынæй', 'фыднозтджынӕй,']
ш/н 44|0.007 20 ['мирошниченко.', 'вишня"-йы', 'фэшн-галуан', '"боярышник"-ӕй', 'калашниковæй', 'калашниковы', 'башни.', 'вишневскаяйы', 'вишня"-ы', 44]
т/с/т 43|0.007 18 ['отставкӕ', 'отставкӕимӕ', 'отставкæйы.', 'бахызтытсты', 43, 'отставкæйæн', 'отставкæмæ,', 'отставкӕйы', 'ӕркастытсты', 'отставкæйыл",']
р/м/х 43|0.007 15 ['æрмхæцæг', 'армхæцæг', '–армхæцæг,', 'армхæстæй.', 'æрмхæцæгыл', 'армхæцæг.', 43, 'æрмхæцджыты', 'чызг-армхæцæг', 'æрмхæцæг,']
в/п 43|0.007 19 ['тадтаевпансионаты', 'тадтаевпарти', 'царнаевпӕк', 'денисовпиротехникӕйыл', 'белоусовпарламент', 'гунеевпутин', 'даничевпитеры', 'белоусовпечать', 43, 'хасиевпушкины']
й/с/к 42|0.007 26 ['новороссийск', 'новороссийскы.', 'майскийы.', 'ханты-мансийскы', 'первомайскаяйыл', '"евразийское', 42, '"олимпийские', 'прейскурант', 'ханты-мансийскӕй']
р/с/г 42|0.007 14 ['æдæрсгæйæ', 'бафӕрсгӕйӕ', 'фæрсгæ', 'æдæрсгæ', 'иуварсгонд,', 42, 'иуварсгонд.', 'иуварсгонд', 'æдæрсгæйӕ', 'ӕдӕрсгӕйӕ.уый']
х/к 42|0.007 19 ['ковалевӕхк', '(æхк)', 'хорзӕхкӕныны', 'зӕхкусӕг', 'хкуыстхъом', 42, 'ӕхк-ы', '(ӕхк)', 'æхк-ы', 'хк']
т/п 42|0.007 23 ['отпусчы', 'югосетпотребнадзор', '"югосетпотребнадзор"', 'отпуск,', 'отпускты', 'югосетпотребнадзорӕн', 'отпусчы.', 'отпуск', 'отпускы,', 'отпускæй']
р/з/б 41|0.007 9 ['хӕрзбон', 'бæрзбæлæсты', '"хæрзбон"', 41, 'бæрзбæласы', 'бæрзбæлӕстӕ,', 'хæрзбон', 'хӕрзбон.', 'хӕрзбон,']
п/ц 41|0.007 20 ['опцийы', 'напц-ы', 'концепцийыл.', '"коррупцигонд"', 'опци', 41, 'концепци', 'интернет-опциты', 'концепци,', 'коррупцион']
н/д/дж 41|0.007 14 ['зондджын', 'амондджын,', 'амондджын.', 41, '"амондджын', 'зондджындӕр', 'амондджындæр",', 'амондджындӕр', 'амондджынæй', 'уындджындӕр']
б/р/м 41|0.007 21 ['сентябрмæ', 'октябрмæ.', 'ноябрмӕ.', 'ноябрмæ,', 'сентябрмӕ,', 'декабрмæ', 'декабрмӕ', 41, 'декабрмæ,', 'сентябрмӕ']
р/т/хъ 41|0.007 18 ['æртхъирæнтæн', 'æртхъирæнтæ', 'бартхъирӕн', 'æртхъирæнтæн,', 41, 'æртхъирæнтæй', 'ӕртхъирӕнгӕнӕгау', 'æртхъирæн', 'чертхъоты', 'ӕртхъирӕны']
в/б 41|0.007 20 ['ковалевбоксы', 'репуховбибылты', 'биятовбибылты', 'ковалевбикойты', 'мамонтовбеслæны', 'чалабовбогал', 'филипповбӕройты', 41, 'каллиниковбоксер', 'касоевбибылты']
с/ч 40|0.006 12 ['отпусчы', 'отпусчы,', '(счетчик)', 'исчи', 40, 'сасчытæ', 'æххуысчиныгæй', 'исчи!..».мæнмæ', 'æххуысчингуытæ', 'отпусчы.']
ц/г 40|0.006 24 ['тӕлмацгӕнӕджы', '"тӕлмацгӕнӕг', 'хæцгæйæ.', 'тæлмацгондæй.', 'хæцгæ', 'тæлмацгæнджытæм', 'хæцгæйæ,', 40, 'ныххӕцгӕйӕ,', 'тӕлмацгӕнджытӕй,']
х/т/дз 40|0.006 25 ['сгуыхтдзиндтæ,', 'сгуыхтдзинад",', 'сгуыхтдзинадыл', 'сгуыхтдзинӕдты', 'сгуыхтдзинад.', 40, 'сгуыхтдзинæдты', 'нысанмæздæхтдзинад', 'сгуыхтдзинæдтыл.', 'сгуыхтдзинӕдты,']
р/с/т/г 40|0.006 15 ['ӕмбӕрстгонддӕр', 'æмбæрстгонд', 'равæрстгонд', 40, 'ӕмбӕрстгонд', 'æрфарстгонд', 'басгӕрстгонд', 'ӕмбӕрстгонд.', 'æмбæрстгонд:', 'ӕмбӕрстгонддӕр".']
д/ц 40|0.006 17 ['хæдцæугæ-артиллерион', 'очевидцахуссар', 'санэпидцæстдард', 'удцырын', 'очевидцамитуард', 'молодцов', 'хӕдцӕугӕ', 40, 'хæдцæугæ', 'хъахъхъӕдцӕуӕг']
ц/к/ф/з 39|0.006 6 ['цкфз-ы', 'цкфз-ы,', 'цкфз', 39, 'цкфз-йы', 'болатаевацкфз-ы']
м/л/р/д 39|0.006 3 ['млрд', 'млрд.', 39]
ф/л 38|0.006 24 ['камуфляж', 'флорӕ', 'флоренцийы', 'флэш', 'флора', 'флот', 'телесуфлёримæ', 'флеш-мобæй.', 'тифлисы', 38]
в/с/т/р 38|0.006 19 ['австрийаг', 'австралиаг', 'австри', 38, 'австриæгтæн', 'австримæ,', 'австрали,', 'австрийы', 'австралийӕ', 'австриаг']
н/т/р/м 38|0.006 14 ['лор-центрмæ', 'центрмӕ.', 'онкоцентрмæ', 'пресс-центрмӕ', 'центрмӕ', 'пресс-центрмæ', 'центрмæ.', 38, 'центрмæ', 'центрмӕ,']
д/ф 37|0.006 21 ['кæдфæнды', 'мидфӕзуатон', 'æфсадфæтæг', 'фыдфын.', 'кӕдфӕнды', 'хӕдфӕстӕ.', 'куыдфæндыйы', 'куыдфӕнды', 37, 'æфсадфæтæгӕн']
л/з 37|0.006 13 ['дæлзæхх', 'дӕлзӕхх', 37, 'уазалзæрдæйæ', 'дӕлзӕххон', 'дӕлзӕх', 'уазалзæрдæйæ,', 'уазалзæрдæ', '"уазалзæрдæ', 'елзарты']
л/д/м 37|0.006 24 ['фæткхæлдмæ', 'фембӕлдмӕ', 'фембæлдмæ', 'змæлдмæ.', 'змӕлдмӕ,', 'фембæлдмæ",', 37, 'базылдмӕ",', 'фезмӕлдмӕ', 'змӕлдмӕ']
м/п/т 37|0.006 20 ['темптæ.', 'темптӕй', 'симптомтимæ.', 'темптæй.', 'темпты', 'темптæй', 'симптомтимӕ', 37, 'темптӕй,', 'темптæ']
н/л 37|0.006 24 ['(финлянди).', 'транляцийӕн', 'фуэнлабрадайы', 'донластыты', 'онлайн', 'финляндийӕ.', 'кинли', 37, 'донласджытæ.', 'багианлеуахийы']
н/ш 37|0.006 16 ['реванш.', 37, '"тох-реваншы', 'тох-реванш', 'реваншы', 'тох-реваншӕн', 'реваншыл', 'реваншыл,', 'реванш', 'реваншистон']
к/ш 37|0.006 4 ['пакшы.', 'кшиштоф', 37, 'векшины']
х/в 36|0.006 17 ['бахва', 'хварцкия,', 'бахва.', 36, 'къахвæндагыл,', 'къахвæндæгтыл', 'къахвӕндӕгтыл', 'къахвæндаг', 'хварцкиябибылты', 'къахвæндаг"']
ч/ч 36|0.006 22 ['афтеччы', 'гаччы', 'налцыччы', 'къапеччы', 36, 'къапеччытӕ.', 'асыччы', 'къапеччытæ.', 'асыччытæй', 'пуччини']
р/д/б 36|0.006 14 ['дзырдбасттæ', 'ардбахæрды', 'цардбæллон', 'ардбахӕрд', 36, 'ардбахæрд,', 'ардбахӕрдыл', 'ардбахæрд.', 'ардбахӕрд,', 'ардбахӕрд.']
д/л 36|0.006 16 ['адлеры', 36, 'седлецмæ.', 'медленно', 'респудликæйы', 'адлейба.', 'фæыдл', 'ӕхсӕнадлон', 'фӕыдл', '"справедливость.']
т/х 36|0.006 26 ['мæлæтхæссæг', 'тхайцук', 'тхэквондойæ', 'маратхуссар', 'ахметханов', 'фæтхалæг', 'ахметхановӕн', 'натхо.', 'тхэквондойы', 'ахматхузин,']
б/т/к 36|0.006 13 ['бтк-4-ы', 'бтк-групп', 36, '"бтк-групп"', '"бтк-групп"-ы', 'бтк', '"бтк-групп"–ы', 'бтк-группы', 'бтк-4,', '"бтк-']
х/р 35|0.006 30 ['хохрæбынты', 'вахрушев', 'хромат', 'хохрæбын', 'хроникæ,', 35, 'хохрæбынмæ', '"хризантема",', 'хронологи.', 'хроникæ']
к/к/р 35|0.006 6 [35, 'аккредитацийы', 'аккредитацигонд', 'аккредитациийы', 'кохабия.аккредитацийы', 'аккредитаци']
р/т/к 35|0.006 10 ['спорткомплекс.', 35, 'спорткомитет', 'спорткомлексы', 'спорткомплекс', 'спорткомитеты', 'вертков', 'спорткомплексæн', '"спорткомплекс', 'спорткомплексы']
с/к/р 35|0.006 26 ['скрининг),', 'скрипачевимӕ', 'дискриминаци', 'воскресенскийцхинвалы', 'воскресенскийцæгатирыстойнаг', 35, 'скрипкæйы', 'дискредитаци', 'воскресенскийчерчесты', 'скрипкæйыл,']
х/къ 35|0.006 12 [35, 'къахкъæлæттын', 'хæххон-къахкъæлæттон', 'æнæныхкъуырды', 'къахкъæлæттон', 'тедеевахæххон-къахкъæлæттон', 'хæххон-къахкъæлæтон', 'къахкъæлæттæ.', '—къахкъæлæттон', 'ныхкъуырд']
р/м/с/п 34|0.005 12 [34, 'армспортмæ,', 'армспорт,', 'армспортӕй', 'армспортæй', 'армспортмæ",', 'армспорты', 'армспортæй.', 'армспортæй,', 'армспорты,']
м/с/т 33|0.005 20 ['"мста-б",', 'санэпидемстанц', 33, 'амстердаммӕ,', 'мстиаты', 'ведомстӕимæ.', '"мста-с",', 'ведомстӕйы', '"амстердам".', '"амстердам"-ы']
р/д/в 33|0.005 15 [33, 'цардвæндагыл,', 'цардвæндаг', 'цардвӕндагыл.', 'цардвӕндыджы', 'цардвӕндаг,', 'цардвæндагыл', 'цардвæндагимæ', 'цардвæндаг:', 'цардвæндагæй".']
б/д 33|0.005 17 ['абдурашид', 33, 'абдурахмановайыл', 'абдулрашид', 'абдуллины', 'абдусалим', 'абдулы', 'тубдиспансеры', '"тубдиспансерæн', 'тубдиспансер']
с/с/к 32|0.005 15 [32, 'невинномысск,', 'рассказать', 'дисскусситӕ', 'дисскуситы', '"русские', '"русско-осетинский', 'русскиййӕ.', '"русская', '"русское']
ц/гъ 32|0.005 3 [32, '"цгъойты', 'цгъойты']
ж/т 32|0.005 26 ['пейзажтæ.', 'персонажтæ', 'гаражтæ', 'пейзажтæ,', 'гаражтæ,', 'экипажтæ.', 'пейзажтæ', 'пейзажтӕ', 32, 'экипажтæ']
н/т/р/т 31|0.005 16 ['центрты.', 'центртӕ', 'пресс-центрты', 'пресс-центртæ.', 'контртеррористон', 'онкоцентрты', 'центртӕй', 'центрты', 'центртæм', 'центртыл']
т/с 31|0.005 14 ['статс-секретарь,', 'политсоветы', 'начинается', 'джиу-джитсуйæ,', 'политсовет', 'джиу-джитсуйæ', 'статс-секретарь', 'статс-', 'посвящается!".', 'джиу-джитсуйы']
б/н 31|0.005 16 ['югосетпотребнадзор', '"волшебная', 'югосетпотребнадзоры', 'югосетпотребнадзомӕ', 'роспотребнадзоры.', '"югосетпотребнадзор"', 'габния,', 'судебной".', '"югосетпотребнадзор"-ы', 'роспотребнадзор']
р/ж 31|0.005 14 ['сержанты', 'цæржытæ', 'инструктортæ-сержанттæ', 'жорж.', 'жорж', 'ӕххӕстбаржын', 'поддерживает', 'ржавинхъайтары', 'заржытӕм.', 'туржанскаяимæ,']
б/м/п 31|0.005 7 ['бмп-2', 'бмп-3', 'бмп-2,', 'бмп-3,', 'бмп-2-йæ', 'бмп-2.', 31]
р/м/г 31|0.005 6 ['хъармгӕнӕн', '"хъармгӕнӕн', 'хъармгæнæн', 'хъармгæнæнты', 'хъармгӕнӕнтӕ.', 31]
м/ч/с 31|0.005 4 ['"энергоресурс"-ы.мчс', 'æнæрухсæй.мчс', 'мчс', 31]
дз/т 30|0.005 21 ['зæппæдзтæ', 'зӕппадзтӕ', 'хӕдзтӕ,', 30, 'æрмæдзтæ.', 'зæппадзты.', 'æрмадзтæ.', 'зæппадзтыл,', 'зӕппӕдзтӕ', 'æрмадзтæй']
д/т/м 30|0.005 13 ['рабадтмӕ', 'рабадтмæ', 'æрсидтмæ', 'рабадтмӕ,', 'рабадтмæ,', 'ӕрсидтмӕ', 'æрсидтмæ,', 'ӕрсидтмӕ.', 'рабадтмæ.спикер', 'рабадтмæ",']
ф/с/дж 30|0.005 12 ['ныфсджынæй', 'ныфсджын', '"ныфсджынӕй', 'ныфсджынæй.', '"ныфсджынæй', 'фæныфсджын', 'ныфсджынӕй', '"ныфсджын".', 'ныфсджын.', 'ныфсджынӕй,']
д/к 30|0.005 24 ['"феи.загадки', 'лихорадкæ', 'педколлектив,', 'педколлектив', 'загадки', 'зарядкæ",', 30, 'педколлективæн', 'хъуыдкæнынады', 'гладкины']
х/с/дз 30|0.005 23 ['ахсдзӕн', 'ахсдзиаг', 'фехсдзæн', 'фæдзæхсдзысты', 'бафӕдзӕхсдзыстӕм', 'бацахсдзысты.', 'бафӕдзӕхсдзысты', 'сарӕхсдзысты', 'фӕдзӕхсдзысты', 30]
й/п 30|0.005 11 ['снайперты', 'снайперон', 'никольскийпутин:', 'снайпераг', 'никольскийпутины', 'снайпертæ', 'венявскийпӕк-ы', 'вейп', '"снайперон', '(снайперы']
б/м 30|0.005 12 ['штабмæ', 'клубмӕ', 'штабмæ",', 'т-72бм', 'ӕбмырд', 'т-72бм,æфсæддон', 'клубмæ', 'т-72бм.', 'штабмæ.', 'бм-21']
г/къ/л 30|0.005 12 ['фыццагкъласонтӕн', 'фыццагкъласоны', 'фыццагкъласонты', 'фыццагкъласоны,', 'фыццагкъласонтæн.', 'фыццагкъласонтӕ', 'фыццагкъласон', 'фыццагкъласонӕн.', 'фыццагкъласоны.', 'фыццагкъласонтæ.']
гъ/дз 30|0.005 20 ['зæгъдзысты,', 'зæгъдзыстæм', 'зæгъдзæн', 'зæгъдзынæ?', 30, 'зæгъдзæн,', 'лæмæгъдзинад', 'зæгъдзынӕ', 'зӕгъдзӕн,', 'зӕгъдзысты']
г/с 30|0.005 17 ['сӕргълӕууӕгсанахъоты', 'æрдæгсакъадахы', 'ӕрдæгсакъадах', 'æрдæгсакъадахыл', 'æрдæгсахатон', 'загсы', 'æрдæгсакъаддахыл', 'рогсӕр', 'загс-мæ', 'агс-17']
ф/т/ц 30|0.005 7 ['(фтц)', 'цаутӕм(фтц).уӕрӕсейы', '(фтц),', 'фтц-ы', 'фтц-тӕ",', 'фтц', 30]
н/т/в 30|0.005 8 ['нтв-шоу', 'нтв.', 'нтв-имӕ', 'нтв-ы', 'нтв-йы', 'нтв', 30, 'нтв-йыл.']
в/п/р 29|0.005 15 ['тадтаевпрезиденты', 'ковалевпремьер:', '«кавпроект»-ы', 'хасиевпрезидент', 'климентьевпрезиденты', 'ковалевпрокуратурӕ', 'хасиевпроект', 'хасиевпрезиденты', 'бибиловпрофессор', 'ковалевпрофессионалон']
р/ф/д 29|0.005 8 ['арфдӕр.facebook"иди', 'арфдӕрӕй",', 'арфдӕр', 'фӕарфдӕр', 'фæарфдæр', 'арфдæр', 'фæарфдæр,', 29]
з/ф 29|0.005 13 ['хуызфыссынады', 'хуызфысты', 'рахизфарсы', 'хуызфысынад', 'азфысты",', 'азфыссæг".', 'хуызфыссынады,', 'хуызфыссынадæй', 'рахизфарс', 'хуызфыссынад,']
н/т/к 29|0.005 15 ['"пациенткӕ', '"конкурсанткӕтӕ', 'студенткæ!",', 'конкурсанткæимæ",', 'студенткæ', 'конкурсанткæ', 'студенткæ.давыны', 'конкурсанткæйы,', 'зардианткари', 'спортсменткӕтӕ']
р/с/т/т 29|0.005 20 ['равзӕрстты', 'басгӕрстты', 'æвзæрстты', 'басгæрстты', 'бабырсттæ', 'равзӕрсттӕй', 'æрфарстты', 'басгæрсттæм', 29, 'равзæрстты']
й/ф 29|0.005 8 ['эйфори', 'найфонты', 'цӕстӕйфенджыты', 'цӕстӕйфенджытӕ.', 'цæстæйфенджытæ', 29, 'цæстæйфенджыты', 'цӕстӕйфенджытӕ']
р/к/м 28|0.005 12 ['туркмæ', 'зоопаркмæ', 'паркмӕ,', 28, 'туркмӕ', 'паркмæ', 'циркмӕ', 'туркмӕ.', 'туркмæ,', 'паркмæ,']
в/ц/х 28|0.005 9 ['ковалевцхинвалмӕ', 'тадтаевцхинвайлаг', 'аньковцхинвалы', 'мельниковцхинвалы', 'тадтаевцхинвалы', 'хасиевцхинвалы', 'ковалевцхинвалы', 28, 'барановцхинвалы']
р/гъ/г 27|0.004 17 ['саргъгӕнӕн.', 'аргъгæнæг', 'дыргъгуыстæй', 'дыргъгуыстæй,', 'аргъгӕнджытӕ.', 'аргъгæндтæ.', 'аргъгӕндты', 'аргъгæнæг,', 'аргъгæнгæйæ,', 'саргъгæнæн']
л/ц/т 27|0.004 16 ['ʻнхъæлцтæ.', 'балцтæм",', 'балцты,', 'балцтæ.', 'балцтыл', 'автобалцты', 'балцтæн', 'ӕнхъӕлцтӕ,', 'балцтæй', 'æнхъæлцты']
т/къ 27|0.004 15 ['фӕткъуы', 'фӕткъуйы', 'фӕткъуытӕ', 27, 'сыджыткъæсты.', 'фæткъуы', 'фæткъуыйы', 'фæткъуытæ,', 'фӕткъуытӕ,', 'фӕткъуыйы']
п/н 27|0.004 14 ['пневмонийӕ', 'пневмонийæимæ', 'пневматикон', 'пневмонийӕ.', 'пневмониимæ.', '"шарикоподшипник"-ы.', 'пневманийы', 'пневмонийы', '"доступная', 'доступна']
т/к/м 26|0.004 9 ['фӕткмӕ', 'фæткмæ",', 'фæткмæ,', 'фæткмæ', 'боныфæткмæ', 'боныфӕткмӕ,', 26, 'боныфӕткмӕ.', 'боныфæткмæ.']
р/г/н 26|0.004 13 ['эргнеты,', 'эргнет"-ы.', 'эргнеты.', 'оргнизацигонд', 'соргнизаци', 'ахуыргнӕджытӕ,', 'эргнетмæ', 'эргнеты', 'эргнетмæ,', 'эргнетмӕ']
х/с/г 26|0.004 24 ['раныхсгӕнӕгӕн', 'рухсгӕнӕджы', 'ахсгæ', 'ӕмбӕхсгӕйӕ,', 26, 'бацахсгæйæ.', 'зынгæхсгæ', 'зынгӕхсгӕ', 'æхсгæ', 'ӕнӕбыхсгӕ']
к/н 26|0.004 21 ['князевайы', '"окна', 'пикникты', 'ӕкны', '"окно', 26, '"книга', '"князь', 'блокнот', 'æкнын']
с/к/т 26|0.004 12 ['пропусктæй', 'дисктæ', 'пропусктыл.', 'пропусктӕй', 'пропусктӕ', 'пропусктæ,', 'пропусктæ', 'фресктӕ', 'отпускты', 'пропусктӕм']
т/с/к 26|0.004 14 ['иркутскы', 'левитская,', 'братск,', 'детских', '"детский', 'хъысмæтскуыддзаггæнæг', 'якутскы', 'критскийы', '"советское', 'якутскӕй']
ф/м 25|0.004 13 ['фм"', 'уæлдæфмæ', 'ӕрмдзӕфмӕ.', 'афмӕй', 'уӕлдӕфмӕ', 'кофман', 'къахдзӕфмӕ', 'дӕрддзӕфмӕ', 'къахдзӕфмӕ,', 'къахдзæфмæ,']
хъ/м 25|0.004 6 ['бехъмар,', '"бехъмар"', '"бехъмары', 'бехъмары', 'тохъмайты', 25]
р/д/дж 25|0.004 8 ['фæлтæрдджын,', 'фæлтæрдджын', 'фӕлдӕрдджын', 'æхсаргæрдджытæ', 'фӕлтӕрдджындӕр', 25, 'сырдджын', 'фӕлтӕрдджын']
к/л/т 24|0.004 15 ['спектаклтӕ.', 'спектаклты', 'спектаклтæ', 'мотоциклты', 'спектаклтæ.', 'квадроциклтыл,', 'спектаклтӕ', 'мотоциклтыл,', 'мотоциклтыл.', 'спектаклтӕм']
л/р 24|0.004 12 ['"оралрабивак"-ы', 'абдулрашид', 'хӕстӕ.ӕрвылрайсом', '"ӕрвылрайсом', '"оралрабивак"', 'уæлрадон', '"æрвылрайсом', 'æрвылрайсом', 'алроса', 24]
в/ф 24|0.004 17 ['ковалевфӕззыгон', 'тадтаевфыдызгъæлы', 'блиновфас', 'трефиловфинансты', 'тадтаевфидауынгӕнӕг', 'акимовфæндаг', 'ковалевфыссæг', 'мельниковфедсовет', 'ковалевфондз', 'ковалевфӕлтӕрӕй']
л/н 23|0.004 10 ['дӕсны-дурылнывӕфтауджыты', 'цӕуылнӕ', 'цæуылнæ', 'волна', 'хип-хоп-исполнитель"', 'алнӕн', 'чысылнымæц,', 23, 'чысылнымæц', 'иуылног']
р/з/м 23|0.004 13 ['карзманӕй', 'синагур-карзман', 'карзман,', '"карзманы', 'герзмава.', '"синагур-карзман"', 'карзманы', 'хорзмӕ', 23, 'синагур-карзманы']
ц/к/х 23|0.004 7 ['цкх-имӕ', '(цкх)', 'цкх-ы', '"цкх-ы', 'цкх-йы', 23, 'цкх']
й/д/м 23|0.004 8 ['ӕмархайдмӕ', 'хайдмæ', 'æмархайдмæ.', 'архайдмӕ', 23, 'архайдмӕ,', 'архайдмæ,', 'архайдмæ']
д/с/к 23|0.004 11 ['кисловодскы,', 'зеленоградскы.', 'заводскойы', 'железноводск,', 'нижегородский', 'зоводскойы', 'кисловодск,', 23, 'кисловодскы.', 'кисловодскы']
т/т/д 23|0.004 3 ['алыхаттдæр', 'алыхаттдӕр', 23]
к/с/м 23|0.004 10 ['комплексмæ.', 'комплексмӕ,', 'кодексмӕ', 'боксмæ",', 'комплексмæ', 'кодексмæ', 'боксмӕ', 23, 'боксмæ', 'комплексмæ,']
р/чъ 22|0.004 12 ['‘рчъицыдтой",', 'орчъосан', '"пъарчъи"', 'орчъосанмӕ.', 'орчъосанмӕ', 'парчъы', '"пъарчъи",', 'орчъосан,', 22, 'орчъосан.']
х/п 22|0.004 10 ['хпæ-йы', 'хпӕ-бӕстӕтӕ', '(хпæ)', 'хпӕ-ы', 'хпӕ', 'хпӕ-', 22, 'хпæ-ы', 'хпӕ-бæстæтæй,', '(хпӕ)']
гъ/д/л 22|0.004 14 ['хыгъдлæвæрд', 'хыгъдлæвæрдтæ,', 'хыгъдлæвæрд.', 'хыгъдлӕвӕрдмӕ.парламент', 'хъыгъдлӕвӕрд', '"хыгъдлæвæрдтæ', 'хыгъдлӕвӕрд', 'хыгъдлӕвӕрдыл', 'хыгъдлæвæрд,', 'хыгъдлæвæрдтæ']
н/к/т/м 22|0.004 8 ['пунктмæ', 'пунктмӕ', 'пунктмæ,', 'пунктмӕ.', 'пунктмӕ,', 'медпунктмæ', 22, 'пунктмæ.']
х/с/м 21|0.003 5 ['рухсмæ,', 'сиахсмæ.', 'рухсмæ', 21, 'рухсмӕ']
р/къ 21|0.003 15 ['тӕркъӕвдайы', 'центрæвзаркъам', 'къоркъула,', 'цыбыркъух', 'хъӕрӕсе-черкъесы.', 'тæркъæвдатæ,', 'цыппаркъахон', 'ӕркъул', 'хъӕрӕсе-черкъесы."стыр', 21]
р/з/дз 21|0.003 14 ['гуырздзыстоны', 'бамбӕрздзӕн', 'бамбæрздзæн', 'карздзинадæй.', 'хорздзинадмæ.', 'бамбæрздзыстæм', 21, 'хорздзинады', 'карздзинад', 'хæрздзæринад.']
в/ч 21|0.003 13 ['савчук', 'шевчукӕн', 'савчук.', 'шевчук.', 'шевчукмæ.', 'овчарова', 'кравченко', 'кравченкойы', 'шевченкойы', 'савчукы']
б/б 21|0.003 17 ['лобби', 'ныббырста', 'ныббарæн', 'хобби.', 'хоббийӕ', 'ныббырста,', 'ныббарын,', 'ныббыхсынӕн,', 'аббясов,', 'ныббыхстам.']
д/с/т 21|0.003 16 ['равыдстæн.архив', 'санэпидстанцмӕ', 'санэпидстанц', 'санэпидстанц,', 'равыдстой', '"владсток"-ы', 'уыдсты', 'рахатыдсты', 'рацыдыдсты', 'равыдстон,']
д/с 21|0.003 14 ['медсоветы', 'хайадситæй', 'медсовет', '"макдональдс"-ы', 'федоренкофедсовет', 'хайадситæй.', 'студсоветы.', 'мельниковфедсовет', 'федсоветы', 'удсыгъдӕгӕй']
